Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2020-01-14 12:54:40.421728+00:00,Undergraduate student,Civil Engineering,Linux,Ubuntu 19.10,Git,R; Python; Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; PDF; HMTL; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Git branch design; Software licensing; Reproducible research,Learning a lot about how to write robust and reproducible research code.
,,2020-01-14 11:59:26.616204+00:00,Graduate student,Biological Sciences,macOS,Catalina 10.15,Git,R; Python,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Jupyter notebooks; Git branch design; Reproducible research,To get a better understanding of how to collaborate with my colleagues and make computational results reproducible.
,,2020-01-14 10:39:18.607353+00:00,Graduate student,Biological Sciences,Linux,Ubuntu 14.04.5 LTS within windows 10,Git,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,
,,2020-01-14 09:04:01.622919+00:00,Postdoc,Biological Sciences,Linux,Ubuntu 18.04,I don't use version control but I know what it is,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,"I hope to get a better understanding of the available tools for code maintenance and hosting. It would be nice to go through  using Git (or similar), for example, and understand how best to work on code continuously and maintain versions accessible to other people."
,,2020-01-14 08:59:05.526672+00:00,Graduate student,Biological Sciences,Linux,Ubuntu,Git,R; Perl,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Jupyter notebooks; Building portable code with CMake; Reproducible research,
,,2020-01-14 08:52:02.428598+00:00,Postdoc,Chemical Sciences,macOS,,I don't use version control but I know what it is,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design,
,,2020-01-14 07:56:44.215306+00:00,Undergraduate student,Biological Sciences,Linux,Ubuntu 18.10,Git,Matlab; R; Python,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,"Improved skills in making well documented and reproducible code. Currently, I feel I'm pretty lacking in that area."
,,2020-01-14 03:32:05.488085+00:00,Researcher,Other,macOS,macOS high Sierra,Git,Matlab; R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Introduction to version control; Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2020-01-13 19:40:21.305368+00:00,Graduate student,Biological Sciences,macOS,,I don't use version control but I know what it is,R; Python; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Markdown; README files,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Reproducible research,"Learn more about documentation, version control and reproducible code."
,,2020-01-13 17:40:57.510916+00:00,Graduate student,Chemical Sciences,Linux,Ubuntu 18.04 LTS,Git; Mercurial,Python; C; Fortran 90+,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; Markdown,GitHub; GitLab; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,"I expect to become more familiar with version control, testing, documenting and managing my programming projects in the right way."
,,2020-01-13 17:37:51.181660+00:00,Postdoc,Nano-technology,Linux,Ubuntu,I don't use version control and I don't know what it is,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,README files,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Introduction to version control; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Building portable code with CMake,To familiar about the modern tools and workflows to develop code
,,2020-01-13 17:35:15.173541+00:00,Graduate student,Biological Sciences,macOS,macOS Catalina,Git,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; HMTL; Markdown,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,Learn better practices for how to make reproducible code
,,2020-01-13 17:17:33.944152+00:00,Graduate student,Materials Engineering,Linux,Ubuntu 18.04/ windows 10 wsl,Git,Matlab; Python; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; Markdown,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2020-01-10 15:20:40.938725+00:00,Researcher,Health Sciences,Linux,Ubuntu Linux 18.04 Bionic Beaver,Git,Matlab; R; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Jupyter notebooks; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Reproducible research,"Up-to-date basic coding info and guiding from experienced tutors, for me as amateur….useful for my work and research tools."
,,2020-01-10 10:52:44.070927+00:00,Graduate student,Physical Sciences,Linux,Ubuntu 18.04,Git,Python; Fortran 90+; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub; GitLab,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Reproducible research,"I hope to be better prepared for a bigger code, which I will very likely start to develop during my PhD and become the maintainer of."
,,2020-01-09 15:31:19.337993+00:00,Graduate student,Biological Sciences,macOS,Mac OS Catalina,Git,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,No and I don't know what it is,Collaborative distributed version control; Archaeology with Git; Git branch design; Reproducible research,
,,2020-01-09 12:32:12.695829+00:00,Postdoc,Physical Sciences,Linux,,Git,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,No and I don't know what it is,Introduction to version control; Managing complexity and modular code development; Archaeology with Git; Git branch design,To integrate the different unsystematic pieces of knowledge that I already have and develop an in-depth understanding of how to use Linux and write fine codes.
,,2020-01-09 11:18:24.410632+00:00,Graduate student,Physical Sciences,Windows,,I don't use version control and I don't know what it is,Matlab,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,,Learn new things about coding.
,,2020-01-09 11:16:18.768965+00:00,Graduate student,Earth and Related Environmental Sciences,Windows,Win 10,Git,Matlab; R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No documentation,GitHub,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,"Strengthen my git knowledge, learn some new cool things.    Get to know other researchers and their programming practices."
,,2020-01-09 11:13:15.557438+00:00,Graduate student,Earth and Related Environmental Sciences,Windows,,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF; Markdown,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Reproducible research,
,,2020-01-09 11:07:36.830940+00:00,Graduate student,Earth and Related Environmental Sciences,Linux,debian,I don't use version control but I know what it is,R,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Introduction to version control; Documentation; Jupyter notebooks; Managing complexity and modular code development; Reproducible research,
,,2020-01-09 11:00:46.191152+00:00,Graduate student,Biological Sciences,Linux,Linux 18.04,Git,Matlab; R; Julia,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,"I program collaboratively extensively, but have mostly learned by trial and error and have a lot of gaps. I'm hoping to fill them and be able to be more systematic and less error-prone!"
,,2020-01-09 10:59:08.444437+00:00,Postdoc,Physical Sciences,Windows,I use Windows 10,I don't use version control but I know what it is,Python; Fortran 90+; Other,No but I know what it is,No but I know what it is,No but I know what it is,No and I don't know what it is,PDF; README files,GitLab; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design,"During my PhD I used to do a lot of coding, and even though now I mostly use the code I might need to go back to coding again. It's nice to keep updated/learn more about it."
,,2020-01-09 10:57:28.335776+00:00,Researcher,Earth and Related Environmental Sciences,Windows,Windows 10 Enterprise,Git,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,"A basic skill in how to work with version control, and perhaps also testing, in my own and shared smaller research coding projects."
,,2020-01-09 07:36:00.575352+00:00,Other,Biological Sciences,Linux,Linux Mint 18.3,Git,R; Python; Perl; Other,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Documentation; Collaborative distributed version control; Automated testing; Archaeology with Git; Git branch design; Reproducible research,Improve the way I develop code and to make this process more FAIR.
